DateTime,Entries,UniqueIPs
1441706154,3598,948736
1441707474,3602,949760
1441708001,3599,948992
1441708860,3603,950016
1441710682,3601,949504
1441712459,3604,950272
1441714263,3601,949504
1441716069,3600,949248
1441718231,3605,950528
1441719497,3606,950784
1441723269,3607,951040
1441725434,3602,949760
1441726865,3601,949504
1441729014,3601,949504
1441729623,3599,948992
1441730465,3601,949504
1441731351,3598,948736
1441732277,3600,949504
1441734064,3599,949248
1441736179,3600,949504
1441737663,3601,950016
1441738564,3597,948992
1441739798,3601,950016
1441741266,3603,950528
1441742882,3605,951040
1441744870,3603,950272
1441747594,3601,949760
1441748468,3603,950272
1441750596,3601,949760
1441751188,3599,949248
1441752103,3600,949504
1441754182,3599,949248
1441754800,3598,948992
1441755663,3601,949760
1441757562,3601,949760
1441758373,3594,947968
1441760158,3590,946944
1441761398,3591,947200
1441761986,3589,946688
1441762695,3591,947200
1441763757,3584,944896
1441765001,3588,945920
1441765402,3583,944640
1441766470,3586,945408
1441768625,3585,945152
1441769187,3584,944896
1441770066,3586,945408
1441772212,3586,945408
1441772804,3584,944896
1441773664,3589,946176
1441774560,3586,945408
1441775824,3588,945920
1441776406,3585,945152
1441777267,3587,945664
1441779411,3587,945664
1441780688,3587,945664
1441781756,3584,944896
1441783037,3586,945408
1441783632,3588,945920
1441784461,3590,946432
1441786644,3585,945152
1441788085,3583,944640
1441790267,3583,944896
1441791664,3590,946944
1441793863,3590,946688
1441794371,3589,946432
1441795269,3592,947200
1441797411,3589,946432
1441798860,3591,946944
1441801079,3590,946688
1441801591,3588,945920
1441802455,3592,946944
1441804579,3590,946432
1441805040,3589,946176
1441806063,3593,947200
1441807861,3590,946432
1441809678,3587,945664
1441811823,3592,947200
1441812388,3589,946432
1441815384,3587,945920
1441816872,3589,946432
1441819008,3588,946176
1441819600,3588,945920
1441820520,3590,946432
1441824068,3588,945920
1441826253,3588,945408
1441827705,3591,946176
1441829781,3592,946432
1441830381,3588,945408
1441831260,3589,945664
1441832154,3587,945152
1441833392,3588,945408
1441834861,3584,944384
1441836689,3586,944896
1441838460,3586,944896
1441839356,3584,944384
1441840603,3585,944640
1441842066,3582,943616
1441844209,3583,943872
1441845665,3581,943360
1441846556,3579,942848
1441848375,3577,942336
1441849266,3584,944384
1441850163,3582,943872
1441851071,3584,944384
1441852865,3585,945152
1441855015,3580,943872
1441855573,3577,943104
1441856463,3580,943872
1441857177,3578,943360
1441858637,3579,943616
