DateTime,AddedIPs,RemovedIPs
1440825067,0,1
1440864667,16,0
1440868268,211,0
1440871867,1,1
1440875467,1,0
1440879068,1,0
1440886267,0,2
1440897067,1,0
1440904267,0,1
1440907867,0,1
1440918668,1,0
1440925867,1,0
1440929468,0,2
1440961867,90,0
1440965467,17,0
1440994207,1,0
1440998709,0,1
1441000207,1,0
1441001408,0,1
1441007108,0,1
1441008007,0,1
1441008608,18,0
1441010110,74,0
1441010707,2,0
1441011608,5,0
1441011909,5,0
1441013709,0,1
1441026907,0,1
1441027508,0,4
1441028108,26,5
1441028709,65,0
1441029308,8,0
1441034107,1,1
1441043409,1,0
1441045207,0,1
1441050307,1,0
1441054808,0,3
1441065008,0,1
1441077908,0,1
1441079110,0,1
1441081510,0,2
1441096510,115,0
1441097108,39,1
1441097408,11,0
1441100108,2,0
1441142708,0,1
1441166708,0,1
1441176307,0,1
1441185308,53,0
1441187108,34,0
1441187407,4,0
1441188007,5,0
1441188607,49,3
1441189508,5,0
1441190107,1,0
1441190707,26,0
1441191307,1,0
1441229107,0,2
1441235707,0,1
1441260006,0,1
1441267807,0,1
1441279507,0,1
1441321207,0,1
1441401007,0,1
1441409709,0,1
1441444208,0,1
1441473008,0,1
1441477208,1,0
1441530909,98,0
1441531508,40,0
1441532108,2,0
1441533309,5,0
1441533607,23,0
1441533907,124,0
1441534507,11,0
1441535107,21,0
1441537207,0,1
1441551608,0,1
1441570207,0,2
1441592408,0,1
1441606509,0,1
1441614908,11,0
1441615506,18,0
1441615807,8,0
1441617307,87,0
1441617909,3,0
1441620008,18,0
1441629909,38,0
1441630506,7,0
1441644010,0,1
1441650307,1,0
1441680609,0,1
1441694107,0,1
1441699807,0,1
1441700707,0,1
1441704907,0,1
1441712108,0,1
1441716907,0,1
