DateTime,Entries,UniqueIPs
1438540288,230,230
1438545086,231,231
1438550486,225,225
1438556490,230,230
1438561891,229,229
1438567894,221,221
1438573296,230,230
1438578689,230,230
1438584088,233,233
1438590687,232,232
1438595489,231,231
1438600888,229,229
1438606289,234,234
1438611688,234,234
1438617688,237,237
1438622491,236,236
1438628491,235,235
1438634489,240,240
1438639892,242,243
1438647091,244,245
1438654292,246,247
1438661493,240,241
1438668694,236,237
1438675893,231,232
1438683702,226,226
1438690291,211,211
1438695694,211,211
1438701087,208,208
1438722694,168,168
1438726598,154,154
1438730496,170,170
1438738896,173,173
1438744889,175,175
1438751495,177,178
1438759293,179,180
1438766494,181,182
1438773693,195,196
1438781498,193,194
1438787495,168,169
1438795294,182,183
1438802492,194,195
1438945894,24,24
1438952493,49,49
1438957297,69,69
1438962697,85,85
1438969300,100,100
1438976499,117,118
1438983698,132,133
1438992103,146,147
1438998697,164,165
1439006501,175,177
1439013702,188,190
1439020294,200,202
1439027494,213,215
1439034695,210,212
1439041301,210,212
1439048497,213,215
1439053301,212,214
1439059300,210,212
1439064696,214,215
1439072498,219,220
1439079699,215,216
1439086294,215,216
1439094096,214,214
1439101298,213,213
1439110289,213,213
1439117495,208,208
1439124095,185,185
1439134901,197,197
1439143295,182,182
1439148694,181,181
1439154691,178,178
1439160701,179,179
1439166704,181,181
1439172104,194,194
1439178098,189,189
1439185299,194,194
1439185299,178,178
1439192495,191,191
1439192495,191,191
1439192495,178,178
1439201495,188,188
1439208097,201,201
1439214695,212,212
1439221295,203,203
1439229092,217,217
1439235699,206,206
1439242895,208,208
1439249500,207,207
1439255503,206,206
1439262702,209,209
1439270498,211,211
1439277700,222,222
1439285502,220,220
1439291502,209,209
1439298690,211,211
1439307097,195,195
1439314896,205,205
1439321492,206,206
1439327490,202,202
1439334092,202,202
1439340087,203,203
1439347293,208,208
1439353297,208,208
1439361096,207,207
1439367698,209,209
1439374902,212,212
1439382690,216,216
1439389892,211,211
1439396498,218,218
1439404295,216,216
1439412101,214,214
1439421093,212,212
1439427695,186,186
1439434303,189,189
1439441495,183,183
1439448108,183,183
1439455305,181,181
1439462504,182,182
1439469704,180,180
1439476900,179,179
1439484103,178,178
1439491898,178,178
1439499103,178,178
1439506304,195,195
1439513497,210,210
1439520704,212,212
1439527290,198,198
1439535098,208,208
1439542297,199,199
1439549505,196,196
1439556094,202,202
1439563900,201,201
1439571696,202,202
1439578898,199,199
1439587902,197,197
1439596305,198,198
1439603498,196,196
1439611298,195,195
1439617905,190,190
1439626903,195,195
1439635300,190,190
1439644296,187,187
1439644296,187,187
1439652697,184,184
1439659898,190,190
1439666500,193,193
1439673698,210,210
1439680305,209,209
1439685707,208,208
1439694707,211,211
1439704303,212,212
1439713300,216,216
1439721699,198,198
1439728907,211,211
1439736707,206,206
1439742704,207,207
1439748710,212,212
1439757108,210,210
1439764312,211,211
1439770912,213,213
1439778711,215,215
1439787104,212,212
1439794906,213,213
1439805103,211,211
1439812297,208,208
1439818902,199,199
1439826106,203,203
1439834504,202,202
1439841105,203,203
1439848299,202,202
1439854899,210,210
1439862098,206,206
1439870502,208,208
1439877700,211,211
1439884897,209,209
1439890896,219,219
1439898102,219,219
1439905900,222,222
1439913697,209,209
1439920905,224,224
1439928108,206,206
1439935304,201,201
1439941904,203,203
1439949105,202,202
1439958106,200,200
1439967707,199,199
1439976106,185,185
1439983901,199,199
1439991096,200,200
1439998303,195,195
1440004908,193,193
1440011507,199,199
1440018698,206,206
1440023505,207,207
1440029506,208,208
1440034902,222,222
1440040914,224,224
1440049305,225,225
1440057707,228,228
1440064306,224,224
1440071500,225,225
1440078697,219,219
1440086498,220,220
1440093101,227,227
1440100294,220,220
1440107501,217,217
1440114703,224,224
1440121907,211,211
1440129701,218,218
1440137507,213,213
1440144109,226,226
1440151311,220,220
1440157907,210,210
1440157907,210,210
1440165107,211,211
1440172304,225,225
1440180101,218,218
1440186708,220,220
1440193908,239,239
1440201109,234,234
1440208904,236,236
1440216106,252,252
1440223305,236,236
1440230507,251,251
1440237101,237,237
1440244301,252,252
1440251504,253,253
1440258701,251,251
1440265902,245,245
1440273099,244,244
1440280909,225,225
1440288107,226,226
1440294108,241,241
1440302504,219,219
1440309703,218,218
1440316299,213,213
1440322915,227,227
1440331306,209,209
1440337904,213,213
1440344503,232,232
1440352303,230,230
1440359518,214,214
1440367308,202,202
1440373906,220,220
1440381710,203,203
1440389503,213,213
1440397901,194,194
1440404500,192,192
1440411707,193,193
1440419494,196,196
1440426703,189,189
1440433904,193,193
1440441100,206,206
1440448904,211,211
1440457311,212,212
1440464498,210,210
1440471704,210,210
1440480109,212,212
1440488500,207,207
1440496903,205,205
1440504698,202,202
1440514296,181,181
1440522098,189,189
1440529901,193,193
1440538303,185,185
1440544906,192,192
1440552707,191,191
1440560513,193,193
1440567706,207,207
1440574309,203,203
1440582112,203,203
1440589314,205,205
1440598303,206,206
